Part Number,Manufacturer,Description,External Id
0FR1100A01G02,None Specified,SURROUND,19321
0FR1100A03G01,Jamco America,SURROUND,19322
0FR1100A07G05,Jamco America,SURROUND,19323
0FR1100A07G13,Jamco America,SURROUND,19324
113W9410-7,Boeing,SEAL,19325
113W9410-8,Boeing,SEAL,19326
113W9410-9,Boeing,SEAL,19327
113W9450-11,Boeing,SEAL,19328
113W9450-12,Boeing,SEAL,19329
113W9450-13,Boeing,SEAL,19330
113W9450-14,Boeing,SEAL,19331
113W9450-15,Boeing,SEAL,19332
113W9450-16,Boeing,SEAL,19333
113W9450-17,Boeing,SEAL,19334
113W9450-18,Boeing,SEAL,19335
113W9450-3,Boeing,SEAL,19336
113W9450-4,Boeing,SEAL,19337
113W9450-5,Boeing,SEAL,19338
113W9450-6,Boeing,SEAL,19339
113W9450-7,Boeing,SEAL,19340
113W9450-8,Boeing,SEAL,19341
113W9510-3,Boeing,SEAL,19342
113W9510-4,Boeing,SEAL,19343
113W9510-5,Boeing,SEAL,19344
113W9510-6,Boeing,SEAL,19345
113W9610-3,Boeing,SEAL,19346
113W9610-5,Boeing,SEAL,19347
113W9610-6,Boeing,SEAL,19348
113W9610-7,Boeing,SEAL,19349
113W9610-8,Boeing,SEAL,19350
113W9622-1,Boeing,FITTING,19351
113W9650-3,Boeing,SEAL,19352
113W9650-4,None Specified,SEAL,19353
113W9650-5,Boeing,SEAL,19354
113W9650-6,None Specified,SEAL,19355
113W9650-7,Boeing,SHIM,19356
113W9650-9,Boeing,SHIM,19357
113W9750-3,Boeing,SEAL,19358
113W9750-4,Boeing,SEAL,19359
113W9750-5,Boeing,SEAL,19360
113W9750-6,Boeing,SEAL,19361
1140-0174-1,Collins Avionics Components & Spare Parts,FLEXI-STICK: AS,19362
1140-0174-2,Collins Avionics Components & Spare Parts,STICK: MEASURIN,19363
1140-0174-3,Collins Avionics Components & Spare Parts,FLEXI STICK ASS,19364
1140-0174-4,Collins Avionics Components & Spare Parts,STICK: MEASURIN,19365
1140-0174-5,Collins Avionics Components & Spare Parts,STICK: MEASURIN,19366
1140-0174-6,Collins Avionics Components & Spare Parts,STICK: MEASURIN,19367
1140-0174-7,Collins Avionics Components & Spare Parts,STICK: MEASURIN,19368
1140-0174-8,Collins Avionics Components & Spare Parts,STICK: MEASURIN,19369
1140-0174-9,Collins Avionics Components & Spare Parts,STICK: MEASURIN,19370
114056-625SS12,None Specified,SCREW,19371
11453,None Specified,LTPLATE,19372
114686-4,None Specified,HOSE AY,19373
114756-12,None Specified,HOSE AY,19374
114756-13,None Specified,HOSE AY,19375
114W2100-21,None Specified,SLAT AY,19376
114W2100-22,None Specified,SLAT AY,19377
114W2100-25,Boeing,SLAT AY,19378
114W2100-26,Boeing,SLAT AY,19379
141W6315-5,Boeing,SPINDLAY,19380
141W7231-7,None Specified,TRACK AY,19381
141W7231-8,None Specified,TRACK AY,19382
141W7232-1,SPIRIT AEROSYSTEMS,CRANK SHAFT,19383
141W7234-5,None Specified,BRKT AY,19384
141W7234-6,None Specified,BRKT AY,19385
141W7238-1,SPIRIT AEROSYSTEMS,FITTING ASSY,19386
141W7239-1,Boeing,HANDLEAY,19387
141W7247-2,Boeing,SLEEVE,19388
141W7247-4,Boeing,PIN AY,19389
141W7296-1,SPIRIT AEROSYSTEMS,KNOB ASSY,19390
141W7400-1,Boeing,WNDSH AY,19391
141W7400-2,Boeing,WSHLD AY,19392
142012-1-12E,None Specified,COUPLING,19393
14255-3,None Specified,SOCKET,19394
14320-101,None Specified,DUCT AY,19395
14330-050,Zodiac,ORBITALFLUSHVLV,19396
14330-063,Zodiac,SWITCH HARNESS,19397
143T1623-5,SPIRIT AEROSYSTEMS,SPACER,19398
143T1623-6,SPIRIT AEROSYSTEMS,SPACER,19399
143T3535-7,SPIRIT AEROSYSTEMS,HINGE,19400
143T3535-8,SPIRIT AEROSYSTEMS,HINGE,19401
143T6356-2,Boeing,WASHER,19402
143T6436-1,Boeing,SCREW,19403
143W3381-1,Boeing,SPRING,19404
143W3381-2,Boeing,SPRING,19405
143W3393-1,Boeing,SEAL,19406
145-101-094,Aviall Inventory Listing,FILTER ASSY,19407
14539-106,BOEING AIRCRAFT,DUCT AY,19408
14539-122,None Specified,DUCT AY,19409
146T6393-7,Boeing,STRAP AY,19410
146T6394-1,Boeing,BUMPERAY,19411
146W6693-1,Boeing,SEAL,19412
146W6693-2,Boeing,SEAL,19413
146W6880-5,None Specified,PIN,19414
147W2660-1,Boeing,PLATE,19415
147W2694-3,None Specified,DOOR,19416
147W2694-4,None Specified,DOOR,19417
148809,Goodrich (Lucas) Electrical Component Spare Parts,RING,19418
148W1603-7,None Specified,LATCH,19419
148W5300-6,None Specified,TAILCONE,19420
148W5625-1,Boeing,BUSHING,19421
148W5625-2,None Specified,BUSHING,19422
148W5625-3,None Specified,BUSHING,19423
148W5669-1,Boeing,PIN,19424
148W5669-3,None Specified,PIN,19425
148W5833-10,Boeing,SEAL,19426
148W5833-11,Boeing,SEAL,19427
148W5833-2,Boeing,SEAL,19428
148W5833-4,Boeing,SEAL,19429
148W5833-5,None Specified,SEAL,19430
148W5833-6,Boeing,SEAL,19431
148W5833-7,Boeing,SEAL,19432
148W5833-8,Boeing,SEAL,19433
141W6314-16,Boeing,SUPT AY,19434
213W3130-8,Boeing,TUBE AY,19435
213W3131-2,Boeing,ARM AY,19436
213W3131-5,Boeing,ARM AY,19437
213W3140-1,Boeing,LINK AY,19438
213W3140-2,Boeing,LINK AY,19439
213W3150-1,Boeing,ENDCAP,19440
213W3150-2,Boeing,ENDCAP,19441
213W3160-2,Boeing,BELCRANK,19442
213W3160-3,Boeing,BELLCRN,19443
213W3170-1,Boeing,LINK AY,19444
213W3190-1,Boeing,SEAL AY,19445
213W3220-11,None Specified,DUCT AY,19446
213W3220-12,None Specified,HEADER ASSY-HEA,19447
213W3220-13,None Specified,DUCT AY,19448
213W3220-14,None Specified,DUCT AY,19449
213W3421-1,Boeing,ROLLER,19450
213W3421-3,Boeing,ROLLER,19451
213W3422-1,Boeing,SEAL,19452
213W3422-3,Boeing,FLAPSEAL,19453
213W3423-1,Boeing,RETAINER,19454
213W3425-1,Boeing,BRACKET,19455
213W3425-2,Boeing,BRACKET,19456
213W3431-5,Boeing,TORQTUBE,19457
213W3431-6,Boeing,TORQTUBE,19458
213W3431-7,Boeing,TORQTUBE,19459
213W3431-8,Boeing,TUBE,19460
2148-0007,None Specified,TERMINAL,19461
214C40-1-77,Resource Data Pricing (Map to AVL),VACUUM BLOWER B,19462
214T2103-1,Boeing,SUPPORT,19463
214T2103-5,Boeing,PAD,19464
214W2118-1A,Boeing,GRILL A,19465
214W2129-1,Boeing,LATCH,19466
214W2129-2,Boeing,LATCH,19467
214W2434-1,Boeing,SPRING,19468
214W2434-2,Boeing,SPRING,19469
214W2437-2,Boeing,PIN,19470
214W2438-1,Boeing,BLOCK,19471
214W2445-1A,None Specified,GRILL,19472
214W2448-1,Boeing,PIN,19473
214W2448-2,Boeing,PIN,19474
214W2448-3,None Specified,PIN,19475
214W3401-1,Boeing,GASKET,19476
214W3401-2,Boeing,GASKET,19477
214W3403-5,Boeing,HOSE,19478
214W3403-6,Boeing,HOSE,19479
214W3403-7,Boeing,HOSE,19480
214W3414-1,None Specified,RING,19481
214W6401-7A,Boeing,DIFFUSER,19482
215W2102-3,Boeing,DUCT,19483
215W2105-3,None Specified,DUCT AY,19484
215W2105-5,None Specified,DUCT AY,19485
216W2402-1,Boeing,GASKET,19486
216W3401-1,Boeing,GASKET,19487
21784,None Specified,STRAP AY,19488
217T1435-2,Boeing,PLUG,19489
310W3038-9,None Specified,BOLT,19490
310W5022-1,Boeing,LINK AY,19491
310W5023-3,Boeing,LINK AY,19492
310W5024-1,Boeing,PIN,19493
310W5025-1,Boeing,BOLT,19494
310W5025-2,Boeing,BOLT,19495
310W5026-1,Boeing,END CAP,19496
310W5033-1,Boeing,LINK AY,19497
310W5033-3,Boeing,LINK AY,19498
310W5034-1,Boeing,LINK AY,19499
310W5034-3,None Specified,LINK AY,19500
310W5035-1,Boeing,LINK,19501
310W5035-3,Boeing,LINK AY,19502
310W5036-1,Boeing,LINK AY,19503
310W5037-1,Boeing,BOLT,19504
310W5037-2,Boeing,BOLT,19505
310W5037-3,Boeing,BOLT,19506
310W5037-4,Boeing,BOLT,19507
310W5038-1,Boeing,END CAP,19508
310W5051-1,Boeing,LINK AY,19509
310W5051-2,Boeing,LINK AY,19510
310W5052-1,Boeing,BOLT,19511
311638,None Specified,SLIDE,19512
311N3066-11,SPIRIT AEROSYSTEMS,INDICATOR,19513
311N3066-7,SPIRIT AEROSYSTEMS,INDICATOR,19514
311N5146-4,Boeing,INDICAT,19515
311W3068-2,SPIRIT AEROSYSTEMS,SPACER,19516
311W3068-3,SPIRIT AEROSYSTEMS,SPACER,19517
311W3083-7,None Specified,SEAL AY,19518
311W3083-8,SPIRIT AEROSYSTEMS,SEAL ASSY,19519
311W3090-2,Boeing,FUSE PIN,19520
311W3091-2,None Specified,FUSE PIN,19521
311W3092-2,None Specified,PIN,19522
311W3092-3,None Specified,PIN,19523
311W3093-2,Boeing,FUSE PIN,19524
311W3094-2,Boeing,PIN,19525
311W3094-3,None Specified,PIN,19526
311W3095-1,Boeing,PIN,19527
311W3095-2,None Specified,PIN,19528
311W3096-10,None Specified,END CAP,19529
311W3096-11,None Specified,END CAP,19530
311W3096-12,Boeing,END CAP,19531
311W3096-9,Boeing,END CAP,19532
311W3097-1,Boeing,WASHER,19533
311W3097-2,Boeing,WASHER,19534
311W3097-3,None Specified,WASHER,19535
311W3098-1,Boeing,WASHER,19536
311W3098-2,Boeing,WASHER,19537
311W3098-4,None Specified,WASHER,19538
311W3098-5,None Specified,WASHER,19539
311W3099-1,None Specified,FUSE PIN,19540
311W3099-2,None Specified,FUSE PIN,19541
311W3710-1,None Specified,LINK AY,19542
310W3038-6,Boeing,BOLT,19543
311W3710-5,None Specified,LINK AY,19544
4326177,TBA,SPACER,19545
4326184,TBA,COLUMN,19546
4326206,Zodiac,"RETAINER,MIRROR",19547
4326302,TBA,STRAP,19548
4326332,TBA,COVER,19549
4326481,Zodiac,HOUSING,19550
4326497,Zodiac,HOUSING,19551
4326503,Zodiac,HOUSING,19552
432W6520-1,None Specified,BRACKET,19553
432W6522-1,None Specified,BRACKET,19554
432W7100-1E,Boeing,RUBSTRIP,19555
432W7100-1R,Boeing,RUBSTRIP,19556
432W7100-2E,None Specified,RUBSTRIP,19557
432W7100-2R,Jamco America,RUB STRIP CAP,19558
432W7100-4D,Boeing,RUBSTRI,19559
432W7100-5C,Boeing,RUBSTRIP,19560
432W7101-13A,Boeing,END CAP,19561
432W7101-2D,None Specified,END CAP,19562
432W7101-6B,Boeing,END CAP,19563
432W7101-6J,Boeing,END CAP,19564
432W7101-6P,Boeing,END CAP,19565
432W7101-7C,Boeing,CAP,19566
432W7102-1A,Boeing,PLATE,19567
432W7200-1A,Boeing,STRIP,19568
432W7201-1A,Boeing,KICKSTRP,19569
432W7201-2C,None Specified,STRIP,19570
4331669,TBA,SPRING,19571
4332367,TBA,STRAP,19572
43332-003,None Specified,LUG,19573
4333912,None Specified,GASKET,19574
4334277,Zodiac,LENS- ASSY,19575
4334284,Zodiac,"LENS,ASSY",19576
4334291,Zodiac,"LENS,ASSY",19577
4334306,Zodiac,"LENS,ASSY",19578
433W5222-2D,Boeing,INSERT,19579
433W5230-20,Boeing,SPRING,19580
433W5230-22,None Specified,SPRING,19581
433W6000-16,Boeing,FITTING,19582
433W6000-17,Boeing,FITTING,19583
433W6000-18,Boeing,FITTING,19584
433W6000-25,None Specified,FITTING,19585
433W6000-26,None Specified,FITTING,19586
43442-030,None Specified,BACKPLAN,19587
43446-020,None Specified,SHIELD,19588
4345-4001,Honeywell GA Components & Spare Parts,SCREEN,19589
43460-020,None Specified,SHIELD,19590
43465-020,None Specified,SHIELD,19591
434W5204-1,Boeing,FITTING,19592
434W5220-40,None Specified,FITTING,19593
434W5220-49,None Specified,FITTING,19594
43527-003,None Specified,SEPARATR,19595
43553-002,None Specified,BUS,19596
435W1300-1B,Boeing,POCKET,19597
435W1300-2B,Boeing,POCKET,19598
4326161,TBA,SHOCK,19599
71444,Vickers Fluid System Components and Spare Parts,PRIORITY VALVE,19600
71476-1,EATON CROPORTATION PUBLIC LIMITED COMPANY,PNEUMATIC ACTUA,19601
71476-4,EATON CROPORTATION PUBLIC LIMITED COMPANY,PNEUMATIC ACTUA,19602
71756,Vickers Fluid System Components and Spare Parts,MODULE ASSY - P,19603
718322,TBA,WASHER,19604
7213ELM2,TBA,PANEL,19605
727591-7,TBA,SPRING,19606
727604-4,HS,FILTER,19607
728-602061-000,TBA,GASKET,19608
728482,Raytheon Aircraft Airframe Componenst and Spare Pa,SEAL (1/1),19609
728747,HAMILTON SUNDSTRAND,COVER,19610
728864,TBA,PIN,19611
729861,HAMILTON SUNDSTRAND,SHAFT,19612
72GP39-1,Valtec Control Valves,XDCR. TEMP,19613
72GP39-4,None Specified,TRANSDUCER,19614
72GP39-5,TBA,XMTR,19615
730807,None Specified,WASHER,19616
731476,HS,GASKET,19617
731966,Vickers Fluid System Components and Spare Parts,MPEV3-056-6H,19618
732-11610-02,None Specified,"ACTUATOR,MECHAN",19619
732-16810-05,TBA,ACTUATOR,19620
734-15610-02,TBA,PDU,19621
734-15610-03,TBA,PDU,19622
734-17360-03,AIRBUS SAS,ACTR AY,19623
73521-12,TBA,TEE AY,19624
73783CD2012,TBA,NUT,19625
7387-400,None Specified,SEAL,19626
740027,TBA,BASE,19627
740489-5,HAMILTON SUNDSTRAND,PLUG,19628
74149,AIRBUS SAS,AUTOBRAKE MODUL,19629
7445FT160,Raytheon Aircraft Airframe Componenst and Spare Pa,SEAL (1/2),19630
7445FT4780N,Raytheon Aircraft Airframe Componenst and Spare Pa,RING (1/1),19631
7445FT4780T,Goodrich Wheel & Brake Components & Spare Parts,SEAL,19632
7447MT160,Raytheon Aircraft Airframe Componenst and Spare Pa,SEAL (1/5),19633
7447MT160-4780,Raytheon Aircraft Airframe Componenst and Spare Pa,SEAL (1/1),19634
746021,AIRBUS SAS,SENSOR,19635
7500-00174-08,TBA,MODULE,19636
7505-07-0000,TBA,CONTAINR,19637
7506ELM1,TBA,PANEL,19638
7513128,Resource Data Pricing (Map to AVL),ELEMENT,19639
7516100-20050,AIRBUS SAS,MCS SATCOM(SDU),19640
7516118-27010,Bendix/King (Honeywell) Avionics Piece Parts,SDU  SATCOM MCS,19641
7516222-901,None Specified,UNIT,19642
7516240-20050,Bendix/King (Honeywell) Avionics Piece Parts,RADIO FREQUENCY,19643
7516250-20050,None Specified,MCS SATCOM(HPA),19644
752554,HAMILTON SUNDSTRAND,GASKET,19645
752686,HAMILTON SUNDSTRAND,FLANGE,19646
752687,HS,GASKET,19647
752774,TBA,GLASS,19648
755-7-09373-002,Vickers Fluid System Components and Spare Parts,"NUT,TRANSIT",19649
7551901,None Specified,FILTER,19650
7553276,Resource Data Pricing (Map to AVL),FILTER,19651
7553848,Resource Data Pricing (Map to AVL),ELEMENT ASSY-FI,19652
7554834,TBA,SPRING,19653
71425,AIRBUS SAS,DISCHARGER STAT,19654
ELM1059-1,None Specified,MAIN BATTERY RE,19655
ELM1087-1,TBA,BREAKER,19656
ELM1112-3,TBA,CARD,19657
ELM1149-1,TBA,MODULE,19658
ELM1287-2,TBA,SHIELD,19659
ELM1290-2,TBA,SHIELD,19660
ELM1390-1,TBA,COVER,19661
ELM1391-1,TBA,COVER,19662
ELM1534-2,TBA,CABINET,19663
ELM1535-2,TBA,CABINET,19664
ELM1545-2,TBA,CABINET,19665
ELM155,TBA,SCREW,19666
ELM169,TBA,CLAMP,19667
ELM206,TBA,BLOCK,19668
ELM206-1,TBA,BLOCK,19669
ELM206-2,TBA,BLOCK,19670
ELM292-3,TBA,CASE,19671
ELM293-3,TBA,CASE,19672
ELM294-3,TBA,CASE,19673
ELM343-1,TBA,STAY,19674
ELM343-2,TBA,STAY,19675
ELM359,TBA,SPACER,19676
ELM36-2,TBA,MODULE,19677
ELM37-2,TBA,MODULE,19678
