sf__Id,sf__Created,Name,inscor__Keyword__c,Manufacturer_Name__c,BD_ExternalId__c,job_id
01tep000002Qc8XAAS,False,0FR1100A01G02,SURROUND,None Specified,19321.0,750ep000003HeSLAA0
01tep000002Qc8YAAS,False,0FR1100A03G01,SURROUND,Jamco America,19322.0,750ep000003HeSLAA0
01tep000002Qc8ZAAS,False,0FR1100A07G05,SURROUND,Jamco America,19323.0,750ep000003HeSLAA0
01tep000002Qc8aAAC,False,0FR1100A07G13,SURROUND,Jamco America,19324.0,750ep000003HeSLAA0
01tep000002Qc8bAAC,False,113W9410-7,SEAL,Boeing,19325.0,750ep000003HeSLAA0
01tep000002Qc8cAAC,False,113W9410-8,SEAL,Boeing,19326.0,750ep000003HeSLAA0
01tep000002Qc8dAAC,False,113W9410-9,SEAL,Boeing,19327.0,750ep000003HeSLAA0
01tep000002Qc8eAAC,False,113W9450-11,SEAL,Boeing,19328.0,750ep000003HeSLAA0
01tep000002Qc8fAAC,False,113W9450-12,SEAL,Boeing,19329.0,750ep000003HeSLAA0
01tep000002Qc8gAAC,False,113W9450-13,SEAL,Boeing,19330.0,750ep000003HeSLAA0
01tep000002Qc8hAAC,False,113W9450-14,SEAL,Boeing,19331.0,750ep000003HeSLAA0
01tep000002Qc8iAAC,False,113W9450-15,SEAL,Boeing,19332.0,750ep000003HeSLAA0
01tep000002Qc8jAAC,False,113W9450-16,SEAL,Boeing,19333.0,750ep000003HeSLAA0
01tep000002Qc8kAAC,False,113W9450-17,SEAL,Boeing,19334.0,750ep000003HeSLAA0
01tep000002Qc8lAAC,False,113W9450-18,SEAL,Boeing,19335.0,750ep000003HeSLAA0
01tep000002Qc8mAAC,False,113W9450-3,SEAL,Boeing,19336.0,750ep000003HeSLAA0
01tep000002Qc8nAAC,False,113W9450-4,SEAL,Boeing,19337.0,750ep000003HeSLAA0
01tep000002Qc8oAAC,False,113W9450-5,SEAL,Boeing,19338.0,750ep000003HeSLAA0
01tep000002Qc8pAAC,False,113W9450-6,SEAL,Boeing,19339.0,750ep000003HeSLAA0
01tep000002Qc8qAAC,False,113W9450-7,SEAL,Boeing,19340.0,750ep000003HeSLAA0
01tep000002Qc8rAAC,False,113W9450-8,SEAL,Boeing,19341.0,750ep000003HeSLAA0
01tep000002Qc8sAAC,False,113W9510-3,SEAL,Boeing,19342.0,750ep000003HeSLAA0
01tep000002Qc8tAAC,False,113W9510-4,SEAL,Boeing,19343.0,750ep000003HeSLAA0
01tep000002Qc8uAAC,False,113W9510-5,SEAL,Boeing,19344.0,750ep000003HeSLAA0
01tep000002Qc8vAAC,False,113W9510-6,SEAL,Boeing,19345.0,750ep000003HeSLAA0
01tep000002Qc8wAAC,False,113W9610-3,SEAL,Boeing,19346.0,750ep000003HeSLAA0
01tep000002Qc8xAAC,False,113W9610-5,SEAL,Boeing,19347.0,750ep000003HeSLAA0
01tep000002Qc8yAAC,False,113W9610-6,SEAL,Boeing,19348.0,750ep000003HeSLAA0
01tep000002Qc8zAAC,False,113W9610-7,SEAL,Boeing,19349.0,750ep000003HeSLAA0
01tep000002Qc90AAC,False,113W9610-8,SEAL,Boeing,19350.0,750ep000003HeSLAA0
01tep000002Qc91AAC,False,113W9622-1,FITTING,Boeing,19351.0,750ep000003HeSLAA0
01tep000002Qc92AAC,False,113W9650-3,SEAL,Boeing,19352.0,750ep000003HeSLAA0
01tep000002Qc93AAC,False,113W9650-4,SEAL,None Specified,19353.0,750ep000003HeSLAA0
01tep000002Qc94AAC,False,113W9650-5,SEAL,Boeing,19354.0,750ep000003HeSLAA0
01tep000002Qc95AAC,False,113W9650-6,SEAL,None Specified,19355.0,750ep000003HeSLAA0
01tep000002Qc96AAC,False,113W9650-7,SHIM,Boeing,19356.0,750ep000003HeSLAA0
01tep000002Qc97AAC,False,113W9650-9,SHIM,Boeing,19357.0,750ep000003HeSLAA0
01tep000002Qc98AAC,False,113W9750-3,SEAL,Boeing,19358.0,750ep000003HeSLAA0
01tep000002Qc99AAC,False,113W9750-4,SEAL,Boeing,19359.0,750ep000003HeSLAA0
01tep000002Qc9AAAS,False,113W9750-5,SEAL,Boeing,19360.0,750ep000003HeSLAA0
01tep000002Qc9BAAS,False,113W9750-6,SEAL,Boeing,19361.0,750ep000003HeSLAA0
01tep000002Qc9CAAS,False,1140-0174-1,FLEXI-STICK: AS,Collins Avionics Components & Spare Parts,19362.0,750ep000003HeSLAA0
01tep000002Qc9DAAS,False,1140-0174-2,STICK: MEASURIN,Collins Avionics Components & Spare Parts,19363.0,750ep000003HeSLAA0
01tep000002Qc9EAAS,False,1140-0174-3,FLEXI STICK ASS,Collins Avionics Components & Spare Parts,19364.0,750ep000003HeSLAA0
01tep000002Qc9FAAS,False,1140-0174-4,STICK: MEASURIN,Collins Avionics Components & Spare Parts,19365.0,750ep000003HeSLAA0
01tep000002Qc9GAAS,False,1140-0174-5,STICK: MEASURIN,Collins Avionics Components & Spare Parts,19366.0,750ep000003HeSLAA0
01tep000002Qc9HAAS,False,1140-0174-6,STICK: MEASURIN,Collins Avionics Components & Spare Parts,19367.0,750ep000003HeSLAA0
01tep000002Qc9IAAS,False,1140-0174-7,STICK: MEASURIN,Collins Avionics Components & Spare Parts,19368.0,750ep000003HeSLAA0
01tep000002Qc9JAAS,False,1140-0174-8,STICK: MEASURIN,Collins Avionics Components & Spare Parts,19369.0,750ep000003HeSLAA0
01tep000002Qc9KAAS,False,1140-0174-9,STICK: MEASURIN,Collins Avionics Components & Spare Parts,19370.0,750ep000003HeSLAA0
01tep000002Qc9LAAS,False,114056-625SS12,SCREW,None Specified,19371.0,750ep000003HeSLAA0
01tep000002Qc9MAAS,False,11453,LTPLATE,None Specified,19372.0,750ep000003HeSLAA0
01tep000002Qc9NAAS,False,114686-4,HOSE AY,None Specified,19373.0,750ep000003HeSLAA0
01tep000002Qc9OAAS,False,114756-12,HOSE AY,None Specified,19374.0,750ep000003HeSLAA0
01tep000002Qc9PAAS,False,114756-13,HOSE AY,None Specified,19375.0,750ep000003HeSLAA0
01tep000002Qc9QAAS,False,114W2100-21,SLAT AY,None Specified,19376.0,750ep000003HeSLAA0
01tep000002Qc9RAAS,False,114W2100-22,SLAT AY,None Specified,19377.0,750ep000003HeSLAA0
01tep000002Qc9SAAS,False,114W2100-25,SLAT AY,Boeing,19378.0,750ep000003HeSLAA0
01tep000002Qc9TAAS,False,114W2100-26,SLAT AY,Boeing,19379.0,750ep000003HeSLAA0
01tep000002Qc9UAAS,False,141W6315-5,SPINDLAY,Boeing,19380.0,750ep000003HeSLAA0
01tep000002Qc9VAAS,False,141W7231-7,TRACK AY,None Specified,19381.0,750ep000003HeSLAA0
01tep000002Qc9WAAS,False,141W7231-8,TRACK AY,None Specified,19382.0,750ep000003HeSLAA0
01tep000002Qc9XAAS,False,141W7232-1,CRANK SHAFT,SPIRIT AEROSYSTEMS,19383.0,750ep000003HeSLAA0
01tep000002Qc9YAAS,False,141W7234-5,BRKT AY,None Specified,19384.0,750ep000003HeSLAA0
01tep000002Qc9ZAAS,False,141W7234-6,BRKT AY,None Specified,19385.0,750ep000003HeSLAA0
01tep000002Qc9aAAC,False,141W7238-1,FITTING ASSY,SPIRIT AEROSYSTEMS,19386.0,750ep000003HeSLAA0
01tep000002Qc9bAAC,False,141W7239-1,HANDLEAY,Boeing,19387.0,750ep000003HeSLAA0
01tep000002Qc9cAAC,False,141W7247-2,SLEEVE,Boeing,19388.0,750ep000003HeSLAA0
01tep000002Qc9dAAC,False,141W7247-4,PIN AY,Boeing,19389.0,750ep000003HeSLAA0
01tep000002Qc9eAAC,False,141W7296-1,KNOB ASSY,SPIRIT AEROSYSTEMS,19390.0,750ep000003HeSLAA0
01tep000002Qc9fAAC,False,141W7400-1,WNDSH AY,Boeing,19391.0,750ep000003HeSLAA0
01tep000002Qc9gAAC,False,141W7400-2,WSHLD AY,Boeing,19392.0,750ep000003HeSLAA0
01tep000002Qc9hAAC,False,142012-1-12E,COUPLING,None Specified,19393.0,750ep000003HeSLAA0
01tep000002Qc9iAAC,False,14255-3,SOCKET,None Specified,19394.0,750ep000003HeSLAA0
